city,city_ershoufang_chengjiao,city_ershoufang_chengjiao_href,city_ershoufang_xiaoqu,city_ershoufang_xiaoqu_href,city_ershoufang_zaishou,city_ershoufang_zaishou_href,crawl_time,province
湖州, 219 ,https://huzhou.lianjia.com/chengjiao/, 1000 ,https://huzhou.lianjia.com/xiaoqu/?from=rec, 5546 ,https://huzhou.lianjia.com/ershoufang/,2019-08-28 16:18:50.840868,浙江
杭州, 34035 ,https://hz.lianjia.com/chengjiao/, 6172 ,https://hz.lianjia.com/xiaoqu/?from=rec, 49463 ,https://hz.lianjia.com/ershoufang/,2019-08-28 16:18:50.840868,浙江
湛江, 493 ,https://zhanjiang.lianjia.com/chengjiao/, 1740 ,https://zhanjiang.lianjia.com/xiaoqu/?from=rec, 7207 ,https://zhanjiang.lianjia.com/ershoufang/,2019-08-28 16:18:50.709900,广东
昆明, 937 ,https://km.lianjia.com/chengjiao/, 2926 ,https://km.lianjia.com/xiaoqu/?from=rec, 18883 ,https://km.lianjia.com/ershoufang/,2019-08-28 16:18:50.839869,云南
柳州, 422 ,https://liuzhou.lianjia.com/chengjiao/, 1551 ,https://liuzhou.lianjia.com/xiaoqu/?from=rec, 4928 ,https://liuzhou.lianjia.com/ershoufang/,2019-08-28 16:18:50.711899,广西
贵阳, 2176 ,https://gy.lianjia.com/chengjiao/, 3002 ,https://gy.lianjia.com/xiaoqu/?from=rec, 18959 ,https://gy.lianjia.com/ershoufang/,2019-08-28 16:18:50.710902,贵州
咸阳, 822 ,https://xianyang.lianjia.com/chengjiao/, 1072 ,https://xianyang.lianjia.com/xiaoqu/?from=rec, 2954 ,https://xianyang.lianjia.com/ershoufang/,2019-08-28 16:18:50.838869,陕西
温州, 418 ,https://wz.lianjia.com/chengjiao/, 2022 ,https://wz.lianjia.com/xiaoqu/?from=rec, 11767 ,https://wz.lianjia.com/ershoufang/,2019-08-28 16:18:50.842868,浙江
宁波, 3531 ,https://nb.lianjia.com/chengjiao/, 3078 ,https://nb.lianjia.com/xiaoqu/?from=rec, 15160 ,https://nb.lianjia.com/ershoufang/,2019-08-28 16:18:50.841868,浙江
珠海, 507 ,https://zh.lianjia.com/chengjiao/, 1501 ,https://zh.lianjia.com/xiaoqu/?from=rec, 14716 ,https://zh.lianjia.com/ershoufang/,2019-08-28 16:18:50.709900,广东
兰州, 692 ,https://lz.lianjia.com/chengjiao/, 2909 ,https://lz.lianjia.com/xiaoqu/?from=rec, 5218 ,https://lz.lianjia.com/ershoufang/,2019-08-28 16:18:50.711899,甘肃
台州, 216 ,https://taizhou.lianjia.com/chengjiao/, 919 ,https://taizhou.lianjia.com/xiaoqu/?from=rec, 4680 ,https://taizhou.lianjia.com/ershoufang/,2019-08-28 16:18:50.842868,浙江
金华, 103 ,https://jh.lianjia.com/chengjiao/, 1340 ,https://jh.lianjia.com/xiaoqu/?from=rec, 6943 ,https://jh.lianjia.com/ershoufang/,2019-08-28 16:18:50.841868,浙江
汉中, 507 ,https://hanzhong.lianjia.com/chengjiao/, 880 ,https://hanzhong.lianjia.com/xiaoqu/?from=rec, 3625 ,https://hanzhong.lianjia.com/ershoufang/,2019-08-28 16:18:50.837872,陕西
武汉, 36436 ,https://wh.lianjia.com/chengjiao/, 7891 ,https://wh.lianjia.com/xiaoqu/?from=rec, 98823 ,https://wh.lianjia.com/ershoufang/,2019-08-28 16:18:50.712900,湖北
宝鸡, 400 ,https://baoji.lianjia.com/chengjiao/, 1204 ,https://baoji.lianjia.com/xiaoqu/?from=rec, 3684 ,https://baoji.lianjia.com/ershoufang/,2019-08-28 16:18:50.836903,陕西
绵阳, 1461 ,https://mianyang.lianjia.com/chengjiao/,,, 10320 ,https://mianyang.lianjia.com/ershoufang/,2019-08-28 16:18:50.832900,四川
南充, 684 ,https://nanchong.lianjia.com/chengjiao/,,, 8751 ,https://nanchong.lianjia.com/ershoufang/,2019-08-28 16:18:50.832900,四川
济南, 16853 ,https://jn.lianjia.com/chengjiao/, 4420 ,https://jn.lianjia.com/xiaoqu/?from=rec, 41016 ,https://jn.lianjia.com/ershoufang/,2019-08-28 16:18:50.833903,山东
南昌,,,,, 22537 ,https://nc.lianjia.com/ershoufang/,2019-08-28 16:18:50.828899,江西
淄博, 1012 ,https://zb.lianjia.com/chengjiao/, 1665 ,https://zb.lianjia.com/xiaoqu/?from=rec, 14439 ,https://zb.lianjia.com/ershoufang/,2019-08-28 16:18:50.836903,山东
吉安,,,,, 9277 ,https://jian.lianjia.com/ershoufang/,2019-08-28 16:18:50.827900,江西
潍坊, 1203 ,https://wf.lianjia.com/chengjiao/, 2348 ,https://wf.lianjia.com/xiaoqu/?from=rec, 16329 ,https://wf.lianjia.com/ershoufang/,2019-08-28 16:18:50.835869,山东
赣州,,,,, 9247 ,https://ganzhou.lianjia.com/ershoufang/,2019-08-28 16:18:50.827900,江西
烟台, 24754 ,https://yt.lianjia.com/chengjiao/, 2443 ,https://yt.lianjia.com/xiaoqu/?from=rec, 22167 ,https://yt.lianjia.com/ershoufang/,2019-08-28 16:18:50.836903,山东
吉林,,,,, 23767 ,https://jl.lianjia.com/ershoufang/,2019-08-28 16:18:50.826902,吉林
呼和浩特, 1505 ,https://hhht.lianjia.com/chengjiao/, 2652 ,https://hhht.lianjia.com/xiaoqu/?from=rec, 13437 ,https://hhht.lianjia.com/ershoufang/,2019-08-28 16:18:50.829903,内蒙古
凉山, 344 ,https://liangshan.lianjia.com/chengjiao/, 769 ,https://liangshan.lianjia.com/xiaoqu/?from=rec, 2618 ,https://liangshan.lianjia.com/ershoufang/,2019-08-28 16:18:50.832900,四川
大连, 73077 ,https://dl.lianjia.com/chengjiao/, 3165 ,https://dl.lianjia.com/xiaoqu/?from=rec, 69680 ,https://dl.lianjia.com/ershoufang/,2019-08-28 16:18:50.828899,辽宁
成都, 220200 ,https://cd.lianjia.com/chengjiao/, 15700 ,https://cd.lianjia.com/xiaoqu/?from=rec, 106598 ,https://cd.lianjia.com/ershoufang/,2019-08-28 16:18:50.830899,四川
临沂, 1184 ,https://linyi.lianjia.com/chengjiao/, 1755 ,https://linyi.lianjia.com/xiaoqu/?from=rec, 6910 ,https://linyi.lianjia.com/ershoufang/,2019-08-28 16:18:50.833903,山东
威海, 312 ,https://weihai.lianjia.com/chengjiao/, 1465 ,https://weihai.lianjia.com/xiaoqu/?from=rec, 11258 ,https://weihai.lianjia.com/ershoufang/,2019-08-28 16:18:50.835869,山东
达州, 414 ,https://dazhou.lianjia.com/chengjiao/, 1116 ,https://dazhou.lianjia.com/xiaoqu/?from=rec, 4864 ,https://dazhou.lianjia.com/ershoufang/,2019-08-28 16:18:50.831900,四川
青岛, 29398 ,https://qd.lianjia.com/chengjiao/, 5373 ,https://qd.lianjia.com/xiaoqu/?from=rec, 51646 ,https://qd.lianjia.com/ershoufang/,2019-08-28 16:18:50.833903,山东
昆山,,,,, 9694 ,https://ks.lianjia.com/ershoufang/,2019-08-28 16:18:50.824901,江苏
丹东, 885 ,https://dd.lianjia.com/chengjiao/, 692 ,https://dd.lianjia.com/xiaoqu/?from=rec, 7329 ,https://dd.lianjia.com/ershoufang/,2019-08-28 16:18:50.829903,辽宁
银川, 1944 ,https://yinchuan.lianjia.com/chengjiao/, 1330 ,https://yinchuan.lianjia.com/xiaoqu/?from=rec, 14396 ,https://yinchuan.lianjia.com/ershoufang/,2019-08-28 16:18:50.830899,宁夏
郑州,,,,, 82636 ,https://zz.lianjia.com/ershoufang/,2019-08-28 16:18:50.820910,河南
上海, 182365 ,https://sh.lianjia.com/chengjiao/, 31861 ,https://sh.lianjia.com/xiaoqu/?from=rec, 77722 ,https://sh.lianjia.com/ershoufang/,2019-08-28 16:18:50.830899,上海
沈阳, 14484 ,https://sy.lianjia.com/chengjiao/, 3523 ,https://sy.lianjia.com/xiaoqu/?from=rec, 65047 ,https://sy.lianjia.com/ershoufang/,2019-08-28 16:18:50.829903,辽宁
三亚,,,,, 1077 ,https://san.lianjia.com/ershoufang/,2019-08-28 16:18:50.817902,海南
开封,,,,, 6449 ,https://kf.lianjia.com/ershoufang/,2019-08-28 16:18:50.818912,河南
